timestamp,date,time,pid,user,workspace,ip,client,command,args,file_path,nb_files,project,file_ext,duration_s,lapse_s,mem_cmd_mb,mem_proc_mb,rpc_in,rpc_out,db_read_locks,db_write_locks,rows_get,rows_pos,rows_scan,rows_put,rows_del
2026-04-27 16:33:42,2026-04-27,16:33:42,756,tkadjulik,tkadjulik_N5-211-20_29,172.16.69.50,UE/v91,user-edit,C:/Temp/20261_NAD_NAND136_N11_Equipe01/H2026_NAND136_Shooter/SuperSimpleFPSPack 5.6/Content/LEVEL/LVL_Tam.umap,"[""C:/Temp/20261_NAD_NAND136_N11_Equipe01/H2026_NAND136_Shooter/SuperSimpleFPSPack 5.6/Content/LEVEL/LVL_Tam.umap""]",1,20261_NAD_NAND136_N11_Equipe01,umap,0.078,.078,11,11,0,0,11,5,4,14,2548,5,0
2026-04-27 16:33:34,2026-04-27,16:33:34,8356,naanino,naanino_TourMaison,184.161.92.143,Helix P4V/NTX64/2024.3/2649657/v96,user-sync,//20261_NAD_NAND169_S01-Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/MiniGames/TTML_ConnectFight/...#head,"[""//20261_NAD_NAND169_S01-Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/MiniGames/TTML_ConnectFight/...#head""]",1,20261_NAD_NAND169_S01-Sandbox,,9.09,9.09,12,12,0,0,12,4,4,26,2800,190,0
2026-04-27 16:33:43,2026-04-27,16:33:43,2820,sboyer1,CarteSSD,142.127.171.157,UE/v91,user-edit,D:/Workspace/20261_NAD_NAND204_Eclairage/Groupe N13/Simon Boyer/Projet 04/Content/ElvenForestCity/Materials/Material_Instances/Simple_Asset_Materials/MI_Lamp_Chained_Light_Blue.uasset D:/Workspace/20261_NAD_NAND204_Eclairage/Groupe N13/Simon Boyer/Projet 04/Content/ElvenForestCity/Materials/Material_Instances/Simple_Asset_Materials/MI_Lamppost_Light.uasset,"[""D:/Workspace/20261_NAD_NAND204_Eclairage/Groupe N13/Simon Boyer/Projet 04/Content/ElvenForestCity/Materials/Material_Instances/Simple_Asset_Materials/MI_Lamp_Chained_Light_Blue.uasset"",""D:/Workspace/20261_NAD_NAND204_Eclairage/Groupe N13/Simon Boyer/Projet 04/Content/ElvenForestCity/Materials/Material_Instances/Simple_Asset_Materials/MI_Lamppost_Light.uasset""]",2,20261_NAD_NAND204_Eclairage,uasset,0.125,.125,11,11,0,0,15,5,5,30,2602,7,0
2026-04-27 16:33:49,2026-04-27,16:33:49,776,EXTNAD_20242_vlaplante,vlaplante_Citrine_dev,70.81.91.57,UE/v91,user-edit,D:/Documents/Perforce Workspaces/Citrine_Reform/Dev/PRGProto_v2/PRGproto/Content/BP/BP_Actors/BP_Start.uasset,"[""D:/Documents/Perforce Workspaces/Citrine_Reform/Dev/PRGProto_v2/PRGproto/Content/BP/BP_Actors/BP_Start.uasset""]",1,Documents,uasset,0.125,.141,11,11,0,0,17,4,9,22,2557,4,0
2026-04-27 16:32:56,2026-04-27,16:32:56,8280,aakader,aakader_N5-212-17_5270,172.16.70.47,Helix P4V/NTX64/2025.1/2731664/v97,user-sync,//20261_NAD_NAND136_N11_Equipe03/...#head,"[""//20261_NAD_NAND136_N11_Equipe03/...#head""]",1,20261_NAD_NAND136_N11_Equipe03,,60.2,60.2,26,26,0,0,11,2,6,6,15395,2,0
2026-04-27 16:33:58,2026-04-27,16:33:58,9320,mafleury,mafleury_TP4_NADParty,74.210.210.134,Helix P4V/NTX64/2024.3/2672664/v96,user-sync,//20261_NAD_NAND169_S01-Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/Fab_Assets/...#head,"[""//20261_NAD_NAND169_S01-Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/Fab_Assets/...#head""]",1,20261_NAD_NAND169_S01-Sandbox,,7.7,7.70,13,13,0,0,9,2,4,6,1122,2,0
2026-04-27 16:34:09,2026-04-27,16:34:09,7800,camblard,camblard_Workspace,174.94.121.193,UE/v91,user-add,E:/perforce/20261_NAD_NAND205_Groupe_N01/CAmblard/CAmblard_ProjetFinal/Content/Materials/MasterMaterials/MI_Decal_Bordure.uasset,"[""E:/perforce/20261_NAD_NAND205_Groupe_N01/CAmblard/CAmblard_ProjetFinal/Content/Materials/MasterMaterials/MI_Decal_Bordure.uasset""]",1,20261_NAD_NAND205_Groupe_N01,uasset,0.125,.125,11,11,0,0,14,5,4,21,2839,5,0
2026-04-27 16:34:13,2026-04-27,16:34:13,1680,mafleury,mafleury_TP4_NADParty,74.210.210.134,Helix P4V/NTX64/2024.3/2672664/v96,user-sync,//20261_NAD_NAND169_S01-Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/Fab_Assets/Low_Poly_Car_Model/...#head,"[""//20261_NAD_NAND169_S01-Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/Fab_Assets/Low_Poly_Car_Model/...#head""]",1,20261_NAD_NAND169_S01-Sandbox,,0.188,.188,11,11,0,0,9,3,4,6,44,8,0
2026-04-27 16:34:19,2026-04-27,16:34:19,2344,camblard,camblard_Workspace,174.94.121.193,UE/v91,user-add,E:/perforce/20261_NAD_NAND205_Groupe_N01/CAmblard/CAmblard_ProjetFinal/Content/Materials/MaterialInstances/MI_Decal_Bordure.uasset,"[""E:/perforce/20261_NAD_NAND205_Groupe_N01/CAmblard/CAmblard_ProjetFinal/Content/Materials/MaterialInstances/MI_Decal_Bordure.uasset""]",1,20261_NAD_NAND205_Groupe_N01,uasset,0.109,.109,11,11,0,0,14,4,4,21,2839,4,0
2026-04-27 16:34:19,2026-04-27,16:34:19,9728,tkadjulik,tkadjulik_N5-211-20_29,172.16.69.50,Helix P4V/NTX64/2025.1/2731664/v97,user-submit,--parallel=0 -f submitunchanged -i,[],0,,,0.141,.141,11,11,0,0,22,12,33,5,27,9,0
